brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,os,os_bit,display_size,price,memory,star
ASUS,Celeron,Intel,Celeron Dual,Missing,4,DDR4,Windows,64,15.6,23990,1024,3.8
ASUS,Vivobook,Intel,Core i3,10th,8,DDR4,Windows,64,15.6,37990,512,4.3
ASUS,Vivobook,Intel,Core i3,10th,8,DDR4,Windows,64,14.1,32890,1024,3.9
HP,Core,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,42990,512,4.4
HP,Core,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,54990,512,4.2
Lenovo,Ideapad,Intel,Core i3,10th,8,DDR4,Windows,64,15.6,35990,1024,4
HP,15s,AMD,Ryzen 3,Missing,8,DDR4,Windows,64,15.6,41999,1280,4.3
ASUS,Core,Intel,Core i3,11th,4,DDR4,Windows,64,14,34429,256,4.1
DELL,Vostro,Intel,Core i3,10th,8,DDR4,Windows,64,15.6,41490,1280,5
Lenovo,Ideapad,Intel,Core i3,10th,8,DDR4,Windows,32,15.6,37990,256,4.3
HP,Core,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,53990,512,4.1
HP,Ryzen,AMD,Ryzen 3,Missing,8,DDR4,Windows,64,15.6,37990,256,4.3
HP,Pavilion,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15.6,57990,512,4.5
Lenovo,Ideapad,Intel,Core i5,11th,8,DDR4,Windows,64,14,52990,512,4.2
ASUS,Vivobook,Intel,Core i3,11th,4,DDR4,Windows,32,15.6,35990,256,4.3
DELL,Vostro,AMD,Ryzen 3,Missing,8,DDR4,Windows,64,14,35990,1024,4.1
ASUS,Vivobook,Intel,Core i3,10th,8,DDR4,Windows,64,14,33980,256,4.4
HP,Pavilion,Intel,Core i5,11th,16,DDR4,Windows,64,14,67990,512,4.5
HP,Core,Intel,Core i3,11th,8,DDR4,Windows,64,14,39990,256,4.2
APPLE,2020,Apple,M1 Processor,Missing,8,DDR4,Mac,64,13.3,85990,256,4.7
ASUS,Vivobook,Intel,Pentium Silver,Missing,4,DDR4,Windows,64,14,29990,256,4
ASUS,Vivobook,Intel,Core i7,10th,16,DDR4,Windows,64,15.6,57990,512,4.4
HP,Core,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,42990,512,4.3
Lenovo,Ideapad,Intel,Celeron Dual,Missing,4,DDR4,Windows,64,14,31999,256,4.3
DELL,Vostro,Intel,Core i3,10th,8,DDR4,Windows,64,14,39490,256,4
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,45490,1280,4.3
MSI,GF63,Intel,Hexa Core,Missing,8,DDR4,Windows,64,15.6,55990,1280,4.3
MSI,GF63,Intel,Core i7,10th,8,DDR4,Windows,64,15.6,63990,1280,4.4
ASUS,TUF,Intel,Core i5,10th,8,DDR4,Windows,64,15.6,57990,512,4.3
ASUS,Ryzen,AMD,Ryzen 3,Missing,8,DDR4,Windows,64,15.6,35990,256,4.5
Lenovo,Ideapad,Intel,Core i5,11th,16,DDR4,Windows,64,15.6,62300,512,4.3
realme,Book(Slim),Intel,Core i5,11th,8,DDR4,Windows,64,14,52990,512,4.4
acer,Aspire,AMD,Ryzen 3,Missing,8,DDR4,Windows,64,15.6,36990,512,4.4
RedmiBook,15,Intel,Core i3,11th,8,DDR4,Windows,32,15.6,38990,256,4.6
ASUS,Vivobook,Intel,Core i5,11th,8,DDR4,Windows,32,15.6,50990,1280,4.3
ASUS,Vivobook,Intel,Core i7,10th,8,DDR4,Windows,64,15.6,61990,512,4.3
MSI,GF65,Intel,Core i7,10th,16,DDR4,Windows,64,15.6,84990,1024,4.5
DELL,Inspiron,AMD,Ryzen 3,Missing,8,DDR4,Windows,64,15.6,39490,256,4.4
ASUS,Vivobook,Intel,Core i5,10th,8,DDR4,Windows,64,15.6,55990,1280,4.3
HP,Pavilion,Intel,Core i3,11th,8,DDR4,Windows,64,14,53990,256,4.5
DELL,Vostro,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,14,41990,256,4.6
Lenovo,Core,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,52990,512,4.3
acer,Aspire,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,38990,256,0
realme,Book,Intel,Core i3,11th,8,DDR4,Windows,64,14,46990,256,0
ASUS,Vivobook,Intel,Core i3,10th,4,DDR4,Windows,64,15.6,35990,512,4.4
Lenovo,Ideapad,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15.6,56990,512,4.4
Lenovo,Ideapad,Intel,Core i5,11th,8,DDR4,Windows,64,15.6,51990,512,4.5
Lenovo,Ideapad,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15.6,48990,512,4.2
Lenovo,Ideapad,Intel,Core i5,11th,16,DDR4,Windows,64,14,61990,512,4.4
DELL,Inspiron,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15.6,49490,1280,4.2
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,Windows,64,15.6,42490,1024,4
ASUS,Vivobook,AMD,Ryzen 5,Missing,8,DDR4,Windows,64,15.6,54990,1280,4
